'Row_Id','IdDepartamento','IdAño','PIB'
1,29,26,413000000
2,1,26,73923000000
3,25,26,5044000000
4,2,26,22122000000
5,3,26,135215000000
6,4,26,18886000000
7,5,26,13069000000
8,6,26,9411000000
9,7,26,2088000000
10,26,26,10004000000
11,8,26,8247000000
12,9,26,9076000000
13,12,26,2531000000
14,10,26,10343000000
15,11,26,29886000000
16,30,26,209000000
17,31,26,523000000
18,13,26,9838000000
19,14,26,6185000000
20,15,26,7062000000
21,16,26,9877000000
22,17,26,7862000000
23,18,26,8050000000
24,27,26,1492000000
25,19,26,4205000000
26,20,26,9093000000
27,28,26,813000000
28,21,26,33528000000
29,22,26,4033000000
30,23,26,12491000000
31,24,26,51787000000
32,32,26,137000000
33,33,26,393000000
34,29,27,433000000
35,1,27,79224000000
36,25,27,5102000000
37,2,27,23863000000
38,3,27,144141000000
39,4,27,20196000000
40,5,27,13694000000
41,6,27,10154000000
42,7,27,2173000000
43,26,27,9426000000
44,8,27,8749000000
45,9,27,9825000000
46,12,27,2537000000
47,10,27,10795000000
48,11,27,31300000000
49,30,27,236000000
50,31,27,548000000
51,13,27,9877000000
52,14,27,6618000000
53,15,27,7232000000
54,16,27,11050000000
55,17,27,8682000000
56,18,27,8981000000
57,27,27,1627000000
58,19,27,4736000000
59,20,27,9899000000
60,28,27,872000000
61,21,27,35774000000
62,22,27,4409000000
63,23,27,13278000000
64,24,27,56386000000
65,32,27,147000000
66,33,27,414000000
67,29,28,442000000
68,1,28,84784000000
69,25,28,5538000000
70,2,28,26106000000
71,3,28,153259000000
72,4,28,21861000000
73,5,28,15467000000
74,6,28,10745000000
75,7,28,2336000000
76,26,28,8855000000
77,8,28,9212000000
78,9,28,10446000000
79,12,28,2588000000
80,10,28,11700000000
81,11,28,33897000000
82,30,28,224000000
83,31,28,596000000
84,13,28,10427000000
85,14,28,6975000000
86,15,28,7596000000
87,16,28,11677000000
88,17,28,9037000000
89,18,28,9662000000
90,27,28,1825000000
91,19,28,4946000000
92,20,28,10074000000
93,28,28,943000000
94,21,28,38353000000
95,22,28,4750000000
96,23,28,14601000000
97,24,28,61010000000
98,32,28,169000000
99,33,28,453000000
100,29,29,457000000
101,1,29,86216000000
102,25,29,5779000000
103,2,29,26748000000
104,3,29,158293000000
105,4,29,22152000000
106,5,29,16573000000
107,6,29,10927000000
108,7,29,2461000000
109,26,29,8981000000
110,8,29,9806000000
111,9,29,10858000000
112,12,29,2732000000
113,10,29,11089000000
114,11,29,36147000000
115,30,29,242000000
116,31,29,573000000
117,13,29,10947000000
118,14,29,7343000000
119,15,29,8312000000
120,16,29,13990000000
121,17,29,9031000000
122,18,29,10288000000
123,27,29,2034000000
124,19,29,4986000000
125,20,29,10272000000
126,28,29,942000000
127,21,29,40471000000
128,22,29,4910000000
129,23,29,14863000000
130,24,29,62367000000
131,32,29,178000000
132,33,29,467000000
133,29,30,470000000
134,1,30,85660000000
135,25,30,5768000000
136,2,30,26736000000
137,3,30,161609000000
138,4,30,22107000000
139,5,30,16726000000
140,6,30,10424000000
141,7,30,2544000000
142,26,30,9261000000
143,8,30,9840000000
144,9,30,11135000000
145,12,30,3136000000
146,10,30,11377000000
147,11,30,36256000000
148,30,30,246000000
149,31,30,556000000
150,13,30,11105000000
151,14,30,7447000000
152,15,30,8833000000
153,16,30,16992000000
154,17,30,9239000000
155,18,30,10587000000
156,27,30,2482000000
157,19,30,4933000000
158,20,30,10336000000
159,28,30,969000000
160,21,30,40212000000
161,22,30,5199000000
162,23,30,14817000000
163,24,30,62817000000
164,32,30,184000000
165,33,30,479000000
166,29,31,486000000
167,1,31,88492000000
168,25,31,5284000000
169,2,31,26633000000
170,3,31,167409000000
171,4,31,23077000000
172,5,31,17346000000
173,6,31,10675000000
174,7,31,2573000000
175,26,31,9781000000
176,8,31,10528000000
177,9,31,11559000000
178,12,31,3794000000
179,10,31,11608000000
180,11,31,38164000000
181,30,31,253000000
182,31,31,548000000
183,13,31,11724000000
184,14,31,7538000000
185,15,31,9138000000
186,16,31,21270000000
187,17,31,9259000000
188,18,31,10706000000
189,27,31,2819000000
190,19,31,5104000000
191,20,31,10503000000
192,28,31,985000000
193,21,31,42786000000
194,22,31,5206000000
195,23,31,14820000000
196,24,31,63805000000
197,32,31,190000000
198,33,31,483000000
199,29,32,501000000
200,1,32,95753000000
201,25,32,5078000000
202,2,32,28126000000
203,3,32,176870000000
204,4,32,25159000000
205,5,32,18969000000
206,6,32,10696000000
207,7,32,2664000000
208,26,32,11276000000
209,8,32,10924000000
210,9,32,12873000000
211,12,32,4031000000
212,10,32,11547000000
213,11,32,41524000000
214,30,32,255000000
215,31,32,561000000
216,13,32,12504000000
217,14,32,8006000000
218,15,32,9314000000
219,16,32,25834000000
220,17,32,9828000000
221,18,32,10947000000
222,27,32,2927000000
223,19,32,5456000000
224,20,32,10665000000
225,28,32,1037000000
226,21,32,44685000000
227,22,32,5553000000
228,23,32,15312000000
229,24,32,66670000000
230,32,32,201000000
231,33,32,437000000
232,29,33,520000000
233,1,33,99629000000
234,25,33,4820000000
235,2,33,30066000000
236,3,33,183104000000
237,4,33,25784000000
238,5,33,19556000000
239,6,33,10777000000
240,7,33,2982000000
241,26,33,11992000000
242,8,33,11911000000
243,9,33,13697000000
244,12,33,3877000000
245,10,33,12684000000
246,11,33,43036000000
247,30,33,273000000
248,31,33,581000000
249,13,33,12769000000
250,14,33,8438000000
251,15,33,9722000000
252,16,33,27811000000
253,17,33,10376000000
254,18,33,11117000000
255,27,33,2905000000
256,19,33,5869000000
257,20,33,10978000000
258,28,33,1078000000
259,21,33,45841000000
260,22,33,5855000000
261,23,33,15830000000
262,24,33,69201000000
263,32,33,201000000
264,33,33,455000000
265,29,34,541000000
266,1,34,104012000000
267,25,34,4672000000
268,2,34,31664000000
269,3,34,190160000000
270,4,34,28346000000
271,5,34,20127000000
272,6,34,11462000000
273,7,34,3156000000
274,26,34,12667000000
275,8,34,13291000000
276,9,34,13588000000
277,12,34,3547000000
278,10,34,13141000000
279,11,34,44776000000
280,30,34,290000000
281,31,34,609000000
282,13,34,13310000000
283,14,34,8480000000
284,15,34,10239000000
285,16,34,30819000000
286,17,34,11037000000
287,18,34,11696000000
288,27,34,3600000000
289,19,34,5933000000
290,20,34,11815000000
291,28,34,1148000000
292,21,34,47680000000
293,22,34,6134000000
294,23,34,16616000000
295,24,34,72246000000
296,32,34,217000000
297,33,34,488000000
298,29,35,563000000
299,1,35,111129000000
300,25,35,4310000000
301,2,35,33772000000
302,3,35,198996000000
303,4,35,27793000000
304,5,35,20986000000
305,6,35,12106000000
306,7,35,3323000000
307,26,35,13430000000
308,8,35,13899000000
309,9,35,14391000000
310,12,35,3472000000
311,10,35,13684000000
312,11,35,46230000000
313,30,35,292000000
314,31,35,647000000
315,13,35,13915000000
316,14,35,8721000000
317,15,35,10128000000
318,16,35,29878000000
319,17,35,11569000000
320,18,35,12253000000
321,27,35,3780000000
322,19,35,6104000000
323,20,35,12367000000
324,28,35,1199000000
325,21,35,52135000000
326,22,35,6469000000
327,23,35,17182000000
328,24,35,75901000000
329,32,35,225000000
330,33,35,490000000
331,29,36,593000000
332,1,36,115446000000
333,25,36,4534000000
334,2,36,35716000000
335,3,36,206478000000
336,4,36,28105000000
337,5,36,22165000000
338,6,36,12514000000
339,7,36,3350000000
340,26,36,13305000000
341,8,36,14622000000
342,9,36,14570000000
343,12,36,3571000000
344,10,36,13657000000
345,11,36,48055000000
346,30,36,307000000
347,31,36,677000000
348,13,36,13805000000
349,14,36,8666000000
350,15,36,10514000000
351,16,36,30712000000
352,17,36,12230000000
353,18,36,12534000000
354,27,36,3481000000
355,19,36,6381000000
356,20,36,12656000000
357,28,36,1253000000
358,21,36,51999000000
359,22,36,6577000000
360,23,36,17381000000
361,24,36,78074000000
362,32,36,233000000
363,33,36,529000000
364,29,37,614000000
365,1,37,119046000000
366,25,37,4272000000
367,2,37,36347000000
368,3,37,210683000000
369,4,37,29285000000
370,5,37,22341000000
371,6,37,12821000000
372,7,37,3427000000
373,26,37,12938000000
374,8,37,14975000000
375,9,37,15676000000
376,12,37,3765000000
377,10,37,13731000000
378,11,37,49601000000
379,30,37,307000000
380,31,37,676000000
381,13,37,13636000000
