'Row_Id';'IdAño';'IdDepartamento';'IDH'
284;19;15;0.643
285;19;16;0.715
286;19;17;0.59
287;19;18;0.66
288;19;27;0.704
289;19;19;0.6940000000000001
290;19;20;0.7020000000000001
291;19;28;0.735
292;19;21;0.646
293;19;22;0.626
294;19;23;0.619
295;19;24;0.684
296;19;32;0.6900000000000001
297;19;33;0.674
298;20;29;0.707
299;20;1;0.667
300;20;25;0.687
301;20;2;0.685
302;20;3;0.723
303;20;4;0.666
304;20;5;0.623
305;20;6;0.679
306;20;7;0.608
307;20;26;0.719
308;20;8;0.602
309;20;9;0.644
310;20;12;0.617
311;20;10;0.621
312;20;11;0.62
313;20;30;0.668
314;20;14;0.609
315;20;31;0.65
316;20;13;0.651
317;20;15;0.644
318;20;16;0.715
319;20;17;0.595
320;20;18;0.656
321;20;27;0.6970000000000001
322;20;19;0.687
323;20;20;0.7020000000000001
324;20;28;0.728
325;20;21;0.645
326;20;22;0.636
327;20;23;0.615
328;20;24;0.679
329;20;32;0.684
330;20;33;0.668
331;21;29;0.706
332;21;1;0.672
333;21;25;0.685
334;21;2;0.686
335;21;3;0.721
336;21;4;0.669
337;21;5;0.627
338;21;6;0.685
339;21;7;0.606
340;21;26;0.717
341;21;8;0.601
342;21;9;0.655
343;21;12;0.618
344;21;10;0.627
345;21;11;0.623
346;21;30;0.667
347;21;14;0.608
348;21;31;0.648
349;21;13;0.653
350;21;15;0.65
351;21;16;0.719
352;21;17;0.604
353;21;18;0.656
354;21;27;0.6960000000000001
355;21;19;0.686
356;21;20;0.707
357;21;28;0.727
358;21;21;0.649
359;21;22;0.65
360;21;23;0.615
361;21;24;0.68
362;21;32;0.682
363;21;33;0.666
364;22;29;0.704
365;22;1;0.673
366;22;25;0.684
367;22;2;0.68
368;22;3;0.723
369;22;4;0.668
370;22;5;0.628
371;22;6;0.685
372;22;7;0.605
373;22;26;0.716
374;22;8;0.603
375;22;9;0.649
376;22;12;0.621
377;22;10;0.628
378;22;11;0.629
379;22;30;0.665
380;22;14;0.612
381;22;31;0.647
382;22;13;0.65
383;22;15;0.647
384;22;16;0.707
385;22;17;0.612
386;22;18;0.655
387;22;27;0.6940000000000001
388;22;19;0.68
389;22;20;0.7010000000000001
390;22;28;0.725
391;22;21;0.653
392;22;22;0.652
393;22;23;0.62
394;22;24;0.681
395;22;32;0.681
396;22;33;0.665
397;23;29;0.704
398;23;1;0.675
399;23;25;0.684
400;23;2;0.6930000000000001
401;23;3;0.726
402;23;4;0.669
403;23;5;0.631
404;23;6;0.686
405;23;7;0.605
406;23;26;0.716
407;23;8;0.606
408;23;9;0.645
409;23;12;0.624
410;23;10;0.63
411;23;11;0.638
412;23;30;0.665
413;23;14;0.617
414;23;31;0.647
415;23;13;0.649
416;23;15;0.647
417;23;16;0.6960000000000001
418;23;17;0.621
419;23;18;0.654
420;23;27;0.6940000000000001
421;23;19;0.6930000000000001
422;23;20;0.6970000000000001
423;23;28;0.725
424;23;21;0.658
425;23;22;0.655
426;23;23;0.626
427;23;24;0.684
428;23;32;0.681
429;23;33;0.665
430;24;29;0.707
431;24;1;0.681
432;24;25;0.687
433;24;2;0.7010000000000001
434;24;3;0.732
435;24;4;0.673
436;24;5;0.636
437;24;6;0.6920000000000001
438;24;7;0.608
439;24;26;0.719
440;24;8;0.613
441;24;9;0.644
442;24;12;0.631
443;24;10;0.635
444;24;11;0.649
445;24;30;0.668
446;24;14;0.625
447;24;31;0.65
448;24;13;0.651
449;24;15;0.649
450;24;16;0.68
451;24;17;0.633
452;24;18;0.657
453;24;27;0.6970000000000001
454;24;19;0.7000000000000001
455;24;20;0.6960000000000001
456;24;28;0.728
457;24;21;0.666
458;24;22;0.661
459;24;23;0.635
460;24;24;0.6910000000000001
461;24;32;0.684
462;24;33;0.668
463;25;29;0.711
464;25;1;0.68
465;25;25;0.6910000000000001
466;25;2;0.709
467;25;3;0.74
468;25;4;0.678
469;25;5;0.643
470;25;6;0.6970000000000001
471;25;7;0.612
472;25;26;0.723
473;25;8;0.619
474;25;9;0.644
475;25;12;0.639
476;25;10;0.641
477;25;11;0.661
478;25;30;0.672
479;25;14;0.634
480;25;31;0.654
481;25;13;0.654
482;25;15;0.653
483;25;16;0.681
484;25;17;0.646
485;25;18;0.661
486;25;27;0.7010000000000001
487;25;19;0.709
488;25;20;0.6950000000000001
489;25;28;0.732
490;25;21;0.675
491;25;22;0.668
492;25;23;0.645
493;25;24;0.6980000000000001
494;25;32;0.68
495;25;33;0.672
496;26;29;0.721
497;26;1;0.7000000000000001
498;26;25;0.7000000000000001
499;26;2;0.723
500;26;3;0.753
501;26;4;0.68
502;26;5;0.654
503;26;6;0.709
504;26;7;0.62
505;26;26;0.733
506;26;8;0.631
507;26;9;0.649
508;26;12;0.651
509;26;10;0.652
510;26;11;0.678
511;26;30;0.682
512;26;14;0.647
513;26;31;0.663
514;26;13;0.662
515;26;15;0.661
516;26;16;0.679
517;26;17;0.664
518;26;18;0.67
519;26;27;0.711
520;26;19;0.723
521;26;20;0.7000000000000001
522;26;28;0.742
523;26;21;0.68
524;26;22;0.68
525;26;23;0.661
526;26;24;0.71
527;26;32;0.6970000000000001
528;26;33;0.681
529;27;29;0.7030000000000001
530;27;1;0.7020000000000001
531;27;25;0.7000000000000001
532;27;2;0.721
533;27;3;0.753
534;27;4;0.68
535;27;5;0.663
536;27;6;0.71
537;27;7;0.631
538;27;26;0.725
539;27;8;0.64
540;27;9;0.654
541;27;12;0.649
542;27;10;0.652
543;27;11;0.683
544;27;30;0.675
545;27;14;0.646
546;27;31;0.667
547;27;13;0.664
548;27;15;0.665
549;27;16;0.682
550;27;17;0.665
551;27;18;0.673
552;27;27;0.6980000000000001
553;27;19;0.72
554;27;20;0.7010000000000001
555;27;28;0.74
556;27;21;0.6900000000000001
557;27;22;0.677
558;27;23;0.665
559;27;24;0.711
560;27;32;0.68
561;27;33;0.673
562;28;29;0.6960000000000001
563;28;1;0.715
564;28;25;0.711
565;28;2;0.73
566;28;3;0.765
567;28;4;0.6970000000000001
568;28;5;0.681
569;28;6;0.721
570;28;7;0.651
571;28;26;0.727
572;28;8;0.658
573;28;9;0.669
574;28;12;0.656
575;28;10;0.66
576;28;11;0.6980000000000001
577;28;30;0.679
578;28;14;0.655
579;28;31;0.68
580;28;13;0.676
581;28;15;0.677
582;28;16;0.6940000000000001
583;28;17;0.675
584;28;18;0.685
585;28;27;0.6970000000000001
586;28;19;0.727
587;28;20;0.711
588;28;28;0.751
589;28;21;0.7000000000000001
590;28;22;0.682
591;28;23;0.679
592;28;24;0.723
593;28;32;0.6910000000000001
594;28;33;0.676
595;29;29;0.683
596;29;1;0.722
597;29;25;0.717
598;29;2;0.733
599;29;3;0.771
600;29;4;0.7020000000000001
601;29;5;0.6940000000000001
602;29;6;0.727
603;29;7;0.665
604;29;26;0.725
605;29;8;0.671
606;29;9;0.678
607;29;12;0.658
608;29;10;0.663
609;29;11;0.707
610;29;30;0.677
611;29;14;0.659
612;29;31;0.68
613;29;13;0.682
614;29;15;0.685
615;29;16;0.7010000000000001
616;29;17;0.68
617;29;18;0.6910000000000001
618;29;27;0.6900000000000001
619;29;19;0.729
620;29;20;0.717
621;29;28;0.756
622;29;21;0.706
623;29;22;0.683
624;29;23;0.687
625;29;24;0.73
626;29;32;0.68
627;29;33;0.673
628;30;29;0.669
629;30;1;0.729
630;30;25;0.721
631;30;2;0.735
632;30;3;0.776
633;30;4;0.705
634;30;5;0.706
635;30;6;0.732
636;30;7;0.679
637;30;26;0.721
638;30;8;0.683
639;30;9;0.686
640;30;12;0.66
641;30;10;0.666
642;30;11;0.716
643;30;30;0.675
644;30;14;0.662
645;30;31;0.6960000000000001
646;30;13;0.68
647;30;15;0.6920000000000001
648;30;16;0.707
649;30;17;0.685
650;30;18;0.6980000000000001
651;30;27;0.683
652;30;19;0.73
653;30;20;0.722
654;30;28;0.759
655;30;21;0.71
656;30;22;0.683
657;30;23;0.6950000000000001
658;30;24;0.735
659;30;32;0.684
660;30;33;0.669
661;31;29;0.654
662;31;1;0.734
663;31;25;0.725
664;31;2;0.736
665;31;3;0.78
666;31;4;0.707
667;31;5;0.716
668;31;6;0.736
669;31;7;0.6910000000000001
670;31;26;0.716
671;31;8;0.6940000000000001
672;31;9;0.6930000000000001
673;31;12;0.66
674;31;10;0.667
675;31;11;0.723
676;31;30;0.671
677;31;14;0.663
678;31;31;0.7020000000000001
679;31;13;0.6920000000000001
680;31;15;0.6970000000000001
681;31;16;0.712
682;31;17;0.687
683;31;18;0.7030000000000001
684;31;27;0.674
685;31;19;0.729
686;31;20;0.724
687;31;28;0.761
688;31;21;0.713
689;31;22;0.681
690;31;23;0.7010000000000001
691;31;24;0.739
692;31;32;0.678
693;31;33;0.664
694;32;29;0.665
695;32;1;0.74
696;32;25;0.726
697;32;2;0.744
698;32;3;0.785
699;32;4;0.715
700;32;5;0.723
701;32;6;0.743
702;32;7;0.6950000000000001
703;32;26;0.721
704;32;8;0.6980000000000001
705;32;9;0.6990000000000001
706;32;12;0.666
707;32;10;0.676
708;32;11;0.731
709;32;30;0.67
710;32;14;0.668
711;32;31;0.711
712;32;13;0.6970000000000001
713;32;15;0.7020000000000001
714;32;16;0.723
715;32;17;0.6930000000000001
716;32;18;0.71
717;32;27;0.681
718;32;19;0.739
719;32;20;0.73
720;32;28;0.765
721;32;21;0.725
722;32;22;0.6920000000000001
723;32;23;0.709
724;32;24;0.748
725;32;32;0.669
726;32;33;0.68
727;33;29;0.672
728;33;1;0.741
729;33;25;0.723
730;33;2;0.747
731;33;3;0.784
732;33;4;0.718
733;33;5;0.725
734;33;6;0.744
735;33;7;0.6940000000000001
736;33;26;0.721
737;33;8;0.6960000000000001
738;33;9;0.7000000000000001
739;33;12;0.667
740;33;10;0.679
741;33;11;0.735
742;33;30;0.663
743;33;14;0.669
744;33;31;0.715
745;33;13;0.6980000000000001
746;33;15;0.7010000000000001
747;33;16;0.73
748;33;17;0.6930000000000001
749;33;18;0.713
750;33;27;0.684
751;33;19;0.743
752;33;20;0.731
753;33;28;0.764
754;33;21;0.731
755;33;22;0.6980000000000001
756;33;23;0.711
757;33;24;0.751
758;33;32;0.656
759;33;33;0.6920000000000001
760;34;29;0.687
761;34;1;0.752
762;34;25;0.729
763;34;2;0.761
764;34;3;0.794
765;34;4;0.731
766;34;5;0.738
767;34;6;0.756
768;34;7;0.7030000000000001
769;34;26;0.731
770;34;8;0.705
771;34;9;0.71
772;34;12;0.677
773;34;10;0.6920000000000001
774;34;11;0.748
775;34;30;0.666
776;34;14;0.678
777;34;31;0.729
778;34;13;0.708
779;34;15;0.71
780;34;16;0.746
781;34;17;0.704
782;34;18;0.726
783;34;27;0.6960000000000001
784;34;19;0.757
785;34;20;0.742
786;34;28;0.772
787;34;21;0.747
788;34;22;0.714
789;34;23;0.724
790;34;24;0.765
791;34;32;0.651
792;34;33;0.713
793;35;29;0.6960000000000001
794;35;1;0.756
795;35;25;0.729
796;35;2;0.767
797;35;3;0.797
798;35;4;0.737
799;35;5;0.743
800;35;6;0.761
801;35;7;0.704
802;35;26;0.734
803;35;8;0.706
804;35;9;0.714
805;35;12;0.681
806;35;10;0.6990000000000001
807;35;11;0.755
808;35;30;0.663
809;35;14;0.681
810;35;31;0.736
811;35;13;0.711
812;35;15;0.712
813;35;16;0.756
814;35;17;0.707
815;35;18;0.732
816;35;27;0.7010000000000001
817;35;19;0.764
818;35;20;0.745
819;35;28;0.774
820;35;21;0.756
821;35;22;0.723
822;35;23;0.729
823;35;24;0.772
824;35;32;0.64
825;35;33;0.727
826;36;29;0.704
827;36;1;0.759
828;36;25;0.728
829;36;2;0.773
830;36;3;0.799
831;36;4;0.743
832;36;5;0.748
833;36;6;0.766
834;36;7;0.706
835;36;26;0.737
836;36;8;0.708
837;36;9;0.718
838;36;12;0.685
839;36;10;0.705
840;36;11;0.761
841;36;30;0.659
842;36;14;0.684
843;36;31;0.743
844;36;13;0.714
845;36;15;0.714
846;36;16;0.765
847;36;17;0.711
848;36;18;0.737
849;36;27;0.706
850;36;19;0.771
851;36;20;0.749
852;36;28;0.775
853;36;21;0.765
854;36;22;0.732
855;36;23;0.735
856;36;24;0.778
857;36;32;0.628
858;36;33;0.741
859;37;29;0.709
860;37;1;0.764
861;37;25;0.733
862;37;2;0.778
863;37;3;0.805
864;37;4;0.748
865;37;5;0.753
866;37;6;0.771
867;37;7;0.71
868;37;26;0.742
869;37;8;0.712
870;37;9;0.722
871;37;12;0.6890000000000001
872;37;10;0.709
873;37;11;0.766
874;37;30;0.663
875;37;14;0.6880000000000001
876;37;31;0.748
877;37;13;0.719
878;37;15;0.719
879;37;16;0.77
880;37;17;0.715
881;37;18;0.742
882;37;27;0.71
883;37;19;0.776
884;37;20;0.754
885;37;28;0.78
886;37;21;0.77
887;37;22;0.736
888;37;23;0.739
889;37;24;0.783
890;37;32;0.633
891;37;33;0.746
892;38;29;0.711
893;38;1;0.766
894;38;25;0.735
895;38;2;0.78
896;38;3;0.807
897;38;4;0.75
898;38;5;0.755
899;38;6;0.773
900;38;7;0.712
901;38;26;0.744
902;38;8;0.714
903;38;9;0.724
904;38;12;0.6910000000000001
905;38;10;0.711
906;38;11;0.768
907;38;30;0.665
908;38;14;0.6900000000000001
909;38;31;0.75
910;38;13;0.72
911;38;15;0.721
912;38;16;0.772
913;38;17;0.717
914;38;18;0.744
915;38;27;0.712
916;38;19;0.778
917;38;20;0.756
918;38;28;0.782
919;38;21;0.772
920;38;22;0.738
921;38;23;0.741
922;38;24;0.785
923;38;32;0.634
924;38;33;0.748
925;39;29;0.713
926;39;1;0.768
927;39;25;0.737
928;39;2;0.782
929;39;3;0.809
930;39;4;0.752
931;39;5;0.756
932;39;6;0.775
933;39;7;0.714
934;39;26;0.746
935;39;8;0.716
936;39;9;0.726
937;39;12;0.6930000000000001
938;39;10;0.713
939;39;11;0.77
940;39;30;0.666
941;39;14;0.6920000000000001
942;39;31;0.752
943;39;13;0.722
944;39;15;0.723
945;39;16;0.774
946;39;17;0.719
947;39;18;0.746
948;39;27;0.714
949;39;19;0.781
950;39;20;0.758
951;39;28;0.785
952;39;21;0.774
953;39;22;0.74
954;39;23;0.743
955;39;24;0.787
956;39;32;0.636
957;39;33;0.751
958;40;29;0.717
959;40;1;0.772
960;40;25;0.741
961;40;2;0.787
962;40;3;0.8140000000000001
963;40;4;0.756
964;40;5;0.76
965;40;6;0.779
966;40;7;0.718
967;40;26;0.75
968;40;8;0.72
969;40;9;0.73
970;40;12;0.6960000000000001
971;40;10;0.717
972;40;11;0.774
973;40;30;0.67
974;40;14;0.6960000000000001
975;40;31;0.756
976;40;13;0.726
977;40;15;0.726
978;40;16;0.778
979;40;17;0.722
980;40;18;0.75
981;40;27;0.718
982;40;19;0.785
983;40;20;0.762
984;40;28;0.789
985;40;21;0.778
986;40;22;0.744
987;40;23;0.747
988;40;24;0.792
989;40;32;0.639
990;40;33;0.754
991;41;29;0.706
992;41;1;0.761
993;41;25;0.73
994;41;2;0.776
995;41;3;0.802
996;41;4;0.745
997;41;5;0.749
998;41;6;0.768
999;41;7;0.707
1000;41;26;0.739
1001;41;8;0.709
1002;41;9;0.719
1003;41;12;0.686
1004;41;10;0.706
1005;41;11;0.763
1006;41;30;0.659
1007;41;14;0.685
1008;41;31;0.744
1009;41;13;0.716
1010;41;15;0.716
1011;41;16;0.767
1012;41;17;0.712
1013;41;18;0.739
1014;41;27;0.707
1015;41;19;0.773
1016;41;20;0.751
1017;41;28;0.778
1018;41;21;0.767
1019;41;22;0.733
1020;41;23;0.736
1021;41;24;0.78
1022;41;32;0.629
1023;41;33;0.744
1024;42;29;0.7020000000000001
1025;42;1;0.757
1026;42;25;0.725
1027;42;2;0.771
1028;42;3;0.797
1029;42;4;0.741
1030;42;5;0.745
1031;42;6;0.763
1032;42;7;0.7030000000000001
1033;42;26;0.735
1034;42;8;0.705
1035;42;9;0.715
1036;42;12;0.682
1037;42;10;0.7020000000000001
1038;42;11;0.759
1039;42;30;0.656
1040;42;14;0.681
1041;42;31;0.74
1042;42;13;0.711
1043;42;15;0.711
1044;42;16;0.762
1045;42;17;0.707
1046;42;18;0.734
1047;42;27;0.7030000000000001
1048;42;19;0.769
1049;42;20;0.746
1050;42;28;0.774
1051;42;21;0.762
1052;42;22;0.729
1053;42;23;0.732
1054;42;24;0.776
1055;42;32;0.625
1056;42;33;0.739
