'Row_Id';'IdAño';'IdDepartamento';'EsperanzaDeVida'
1;11;29;70.62
2;11;1;68.64
3;11;25;70.6
4;11;2;68.64
5;11;3;68.64
6;11;4;68.64
7;11;5;68.64
8;11;6;68.64
9;11;7;68.47
10;11;26;72.78
11;11;8;68.64
12;11;9;68.64
13;11;12;68.64
14;11;10;68.64
15;11;11;68.64
16;11;30;70.83
17;11;14;68.64
18;11;31;70.93
19;11;13;68.64
20;11;15;68.64
21;11;16;68.64
22;11;17;68.64
23;11;18;68.64
24;11;27;72.22
25;11;19;68.64
26;11;20;68.64
27;11;28;72.58
28;11;21;68.64
29;11;22;68.64
30;11;23;68.64
31;11;24;68.64
32;11;32;70.68
33;11;33;69.75
34;12;29;70.8
35;12;1;68.81
36;12;25;70.78
37;12;2;68.81
38;12;3;68.81
39;12;4;68.81
40;12;5;68.81
41;12;6;68.81
42;12;7;68.64
43;12;26;72.96
44;12;8;68.81
45;12;9;68.81
46;12;12;68.81
47;12;10;68.81
48;12;11;68.81
49;12;30;71.01
50;12;14;68.81
51;12;31;71.1
52;12;13;68.81
53;12;15;68.81
54;12;16;68.81
55;12;17;68.81
56;12;18;68.81
57;12;27;72.4
58;12;19;68.81
59;12;20;68.81
60;12;28;72.76
61;12;21;68.81
62;12;22;68.81
63;12;23;68.81
64;12;24;68.81
65;12;32;70.86
66;12;33;69.92
67;13;29;71.03
68;13;1;69.04
69;13;25;71.01
70;13;2;69.04
71;13;3;69.04
72;13;4;69.04
73;13;5;69.04
74;13;6;69.04
75;13;7;68.87
76;13;26;73.2
77;13;8;69.04
78;13;9;69.04
79;13;12;69.04
80;13;10;69.04
81;13;11;69.04
82;13;30;71.24
83;13;14;69.04
84;13;31;71.33
85;13;13;69.04
86;13;15;69.04
87;13;16;69.04
88;13;17;69.04
89;13;18;69.04
90;13;27;72.64
91;13;19;69.04
92;13;20;69.04
93;13;28;72.99
94;13;21;69.04
95;13;22;69.04
96;13;23;69.04
97;13;24;69.04
98;13;32;71.09
99;13;33;70.15
100;14;29;71.34
101;14;1;69.34
102;14;25;71.32
103;14;2;69.34
104;14;3;69.34
105;14;4;69.34
106;14;5;69.34
107;14;6;69.34
108;14;7;69.17
109;14;26;73.52
110;14;8;69.34
111;14;9;69.34
112;14;12;69.34
113;14;10;69.34
114;14;11;69.34
115;14;30;71.55
116;14;14;69.34
117;14;31;71.65
118;14;13;69.34
